,Unnamed: 0,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,maturity,optType
0,0,AMD250718C00100000,2025-07-08 14:58:34+00:00,100.0,39.05,38.0,38.4,4.049999,11.571426,62,9129,1.0966842041015623,True,REGULAR,USD,7/18/2025,call
1,1,AMD250718C00105000,2025-07-08 16:47:10+00:00,105.0,33.15,33.1,33.35,3.1000023,10.316148,38,5431,0.9677737597656252,True,REGULAR,USD,7/18/2025,call
2,2,AMD250718C00110000,2025-07-08 15:28:04+00:00,110.0,27.92,28.05,28.3,2.7999992,11.146494,63,21900,0.8095722167968749,True,REGULAR,USD,7/18/2025,call
3,3,AMD250718C00115000,2025-07-08 16:01:35+00:00,115.0,23.03,23.15,23.35,2.630001,12.892163,143,10949,0.7045927978515626,True,REGULAR,USD,7/18/2025,call
4,4,AMD250718C00118000,2025-07-08 15:25:24+00:00,118.0,20.05,20.2,20.4,2.6299992,15.097584,27,109,0.639652041,True,REGULAR,USD,7/18/2025,call
5,5,AMD250718C00120000,2025-07-08 16:46:04+00:00,120.0,18.21,18.25,18.45,2.709999,17.483866,135,14905,0.5996133789062501,True,REGULAR,USD,7/18/2025,call
6,6,AMD250718C00124000,2025-07-08 16:23:10+00:00,124.0,14.65,14.4,14.55,2.8999996,24.68085,77,240,0.5180712255859375,True,REGULAR,USD,7/18/2025,call
7,7,AMD250718C00125000,2025-07-08 16:44:06+00:00,125.0,13.55,13.45,13.6,2.7399998,25.346897,234,17506,0.500005,True,REGULAR,USD,7/18/2025,call
8,8,AMD250718C00126000,2025-07-08 15:16:06+00:00,126.0,13.3,12.55,12.75,3.1900005,31.552925,18,132,0.5136767382812499,True,REGULAR,USD,7/18/2025,call
9,9,AMD250718C00127000,2025-07-08 16:33:52+00:00,127.0,11.8,11.6,11.8,2.7600002,30.530977,23,178,0.4917043017578125,True,REGULAR,USD,7/18/2025,call
10,10,AMD250718C00128000,2025-07-08 14:28:14+00:00,128.0,10.1,10.7,10.9,1.9000006,23.17074,43,259,0.476567734,True,REGULAR,USD,7/18/2025,call
11,11,AMD250718C00129000,2025-07-08 16:32:00+00:00,129.0,10.23,9.85,10.0,2.6299996,34.60526,98,379,0.459966338,True,REGULAR,USD,7/18/2025,call
12,12,AMD250718C00130000,2025-07-08 16:45:57+00:00,130.0,8.93,8.95,9.1,1.9600005,28.120523,772,28812,0.4411676977539062,True,REGULAR,USD,7/18/2025,call
13,13,AMD250718C00131000,2025-07-08 16:51:03+00:00,131.0,8.25,8.2,8.35,1.9000001,29.921263,165,327,0.4409235595703125,True,REGULAR,USD,7/18/2025,call
14,14,AMD250718C00132000,2025-07-08 16:27:00+00:00,132.0,7.77,7.4,7.5,2.3200002,42.568813,275,879,0.4240780249023437,True,REGULAR,USD,7/18/2025,call
15,15,AMD250718C00133000,2025-07-08 16:30:03+00:00,133.0,7.05,6.65,6.8,2.1400003,43.58453,585,838,0.422857334,True,REGULAR,USD,7/18/2025,call
16,16,AMD250718C00134000,2025-07-08 16:50:34+00:00,134.0,6.04,6.05,6.1,1.69,38.850574,571,1229,0.4174862939453124,True,REGULAR,USD,7/18/2025,call
17,17,AMD250718C00135000,2025-07-08 16:45:44+00:00,135.0,5.33,5.3,5.4,1.5,39.16449,3826,21593,0.408209043,True,REGULAR,USD,7/18/2025,call
18,18,AMD250718C00136000,2025-07-08 16:35:05+00:00,136.0,4.7,4.7,4.8,1.3499999,40.298504,806,2220,0.4060117993164062,True,REGULAR,USD,7/18/2025,call
19,19,AMD250718C00137000,2025-07-08 16:48:25+00:00,137.0,4.23,4.15,4.25,1.3299999,45.86207,1902,4363,0.4047911083984374,True,REGULAR,USD,7/18/2025,call
20,20,AMD250718C00138000,2025-07-08 16:47:05+00:00,138.0,3.7,3.65,3.7,1.1800001,46.8254,2540,2320,0.3991759301757813,False,REGULAR,USD,7/18/2025,call
21,21,AMD250718C00139000,2025-07-08 16:51:45+00:00,139.0,3.23,3.15,3.25,1.05,48.165134,3121,4517,0.3999083447265625,False,REGULAR,USD,7/18/2025,call
22,22,AMD250718C00140000,2025-07-08 16:52:51+00:00,140.0,2.81,2.77,2.8,0.91999996,48.677246,14782,35292,0.3961242028808594,False,REGULAR,USD,7/18/2025,call
23,23,AMD250718C00141000,2025-07-08 16:41:36+00:00,141.0,2.42,2.4,2.43,0.82000005,51.250004,1411,2881,0.3967345483398438,False,REGULAR,USD,7/18/2025,call
24,24,AMD250718C00142000,2025-07-08 16:49:22+00:00,142.0,2.07,2.06,2.09,0.66999996,47.85714,1511,1967,0.3962462719726562,False,REGULAR,USD,7/18/2025,call
25,25,AMD250718C00143000,2025-07-08 16:50:34+00:00,143.0,1.77,1.76,1.78,0.56999993,47.499992,2060,2323,0.3950255810546875,False,REGULAR,USD,7/18/2025,call
26,26,AMD250718C00144000,2025-07-08 16:49:26+00:00,144.0,1.51,1.5,1.52,0.5,49.50495,1775,2600,0.3957579956054688,False,REGULAR,USD,7/18/2025,call
27,27,AMD250718C00145000,2025-07-08 16:52:33+00:00,145.0,1.3,1.3,1.32,0.40999997,45.555553,5329,15992,0.4001524829101562,False,REGULAR,USD,7/18/2025,call
28,28,AMD250718C00146000,2025-07-08 16:43:22+00:00,146.0,1.11,1.1,1.12,0.34000003,44.15585,2498,1672,0.4011290356445312,False,REGULAR,USD,7/18/2025,call
29,29,AMD250718C00147000,2025-07-08 16:33:59+00:00,147.0,1.0,0.94,0.95,0.35000002,53.84616,707,2124,0.4025938647460937,False,REGULAR,USD,7/18/2025,call
30,30,AMD250718C00148000,2025-07-08 16:50:47+00:00,148.0,0.79,0.8,0.81,0.23000002,41.07143,579,5107,0.405279385,False,REGULAR,USD,7/18/2025,call
31,31,AMD250718C00149000,2025-07-08 16:47:37+00:00,149.0,0.68,0.68,0.7,0.20000002,41.66667,1295,1215,0.410162148,False,REGULAR,USD,7/18/2025,call
32,32,AMD250718C00150000,2025-07-08 16:51:22+00:00,150.0,0.59,0.59,0.6,0.16999999,40.47619,4006,23142,0.414068359,False,REGULAR,USD,7/18/2025,call
33,33,AMD250718C00152500,2025-07-08 16:47:41+00:00,152.5,0.4,0.39,0.4,0.09,29.032257,170,933,0.421880781,False,REGULAR,USD,7/18/2025,call
34,34,AMD250718C00155000,2025-07-08 16:49:30+00:00,155.0,0.28,0.28,0.29,0.049999997,21.739128,314,16714,0.437505625,False,REGULAR,USD,7/18/2025,call
35,35,AMD250718C00157500,2025-07-08 16:01:47+00:00,157.5,0.2,0.2,0.21,0.019999996,11.111108,52,1193,0.4526421923828125,False,REGULAR,USD,7/18/2025,call
36,36,AMD250718C00160000,2025-07-08 15:53:43+00:00,160.0,0.15,0.15,0.16,0.0,0.0,469,6397,0.470708418,False,REGULAR,USD,7/18/2025,call
37,37,AMD250718C00165000,2025-07-08 16:48:29+00:00,165.0,0.1,0.09,0.1,0.0,0.0,259,3908,0.503911211,False,REGULAR,USD,7/18/2025,call
38,38,AMD250718C00170000,2025-07-08 16:42:12+00:00,170.0,0.07,0.06,0.07,-0.009999998,-12.499997,195,3186,0.5429733203125001,False,REGULAR,USD,7/18/2025,call
39,39,AMD250718C00175000,2025-07-08 15:59:52+00:00,175.0,0.04,0.04,0.05,-0.010000002,-20.000002,24,2351,0.578129219,False,REGULAR,USD,7/18/2025,call
40,40,AMD250725C00118000,2025-07-08 13:49:38+00:00,118.0,19.3,20.4,20.75,2.0900002,12.144104,18,622,0.5539595385742189,True,REGULAR,USD,7/25/2025,call
41,41,AMD250725C00120000,2025-07-08 14:28:56+00:00,120.0,18.5,18.35,18.8,2.63,16.57215,25,579,0.508793975,True,REGULAR,USD,7/25/2025,call
42,42,AMD250725C00122000,2025-07-08 15:15:33+00:00,122.0,17.5,16.75,17.3,3.6800003,26.628078,27,148,0.5354050366210938,True,REGULAR,USD,7/25/2025,call
43,43,AMD250725C00124000,2025-07-07 18:29:46+00:00,124.0,13.85,14.9,15.2,2.0,16.877636,34,294,0.5097705273437501,True,REGULAR,USD,7/25/2025,call
44,44,AMD250725C00125000,2025-07-08 16:23:10+00:00,125.0,14.15,13.9,14.1,3.08,27.822947,41,879,0.4711966943359374,True,REGULAR,USD,7/25/2025,call
45,45,AMD250725C00126000,2025-07-08 14:46:43+00:00,126.0,13.5,13.0,13.35,2.7399998,25.46468,14,174,0.4773001489257812,True,REGULAR,USD,7/25/2025,call
46,46,AMD250725C00127000,2025-07-08 14:33:54+00:00,127.0,13.0,12.3,12.55,3.08,31.048388,32,156,0.4743704907226562,True,REGULAR,USD,7/25/2025,call
47,47,AMD250725C00128000,2025-07-08 15:35:22+00:00,128.0,11.5,11.4,11.55,2.4899998,27.635956,66,310,0.4470270141601562,True,REGULAR,USD,7/25/2025,call
48,48,AMD250725C00130000,2025-07-08 16:34:23+00:00,130.0,9.8,9.9,10.05,1.8500004,23.270445,524,1894,0.4432428723144531,True,REGULAR,USD,7/25/2025,call
49,49,AMD250725C00131000,2025-07-08 16:18:44+00:00,131.0,8.73,9.15,9.3,1.7799997,25.611507,24,173,0.4377497631835937,True,REGULAR,USD,7/25/2025,call
50,50,AMD250725C00132000,2025-07-08 16:49:02+00:00,132.0,8.42,8.4,8.55,1.81,27.382753,144,4392,0.4300594104003906,True,REGULAR,USD,7/25/2025,call
51,51,AMD250725C00133000,2025-07-08 16:17:37+00:00,133.0,7.31,7.65,7.8,1.3499999,22.651005,36,8213,0.4204159521484375,True,REGULAR,USD,7/25/2025,call
52,52,AMD250725C00134000,2025-07-08 16:36:44+00:00,134.0,6.95,7.05,7.2,1.5499997,28.703697,480,757,0.4216366430664062,True,REGULAR,USD,7/25/2025,call
53,53,AMD250725C00135000,2025-07-08 16:40:04+00:00,135.0,6.4,6.45,6.55,1.5,30.612244,1080,5680,0.4160214648437499,True,REGULAR,USD,7/25/2025,call
54,54,AMD250725C00136000,2025-07-08 16:32:10+00:00,136.0,6.1,5.85,6.0,1.75,40.229885,352,358,0.4165097412109374,True,REGULAR,USD,7/25/2025,call
55,55,AMD250725C00137000,2025-07-08 16:29:41+00:00,137.0,5.55,5.25,5.35,1.5,37.037037,950,542,0.4058897302246094,True,REGULAR,USD,7/25/2025,call
56,56,AMD250725C00138000,2025-07-08 16:30:36+00:00,138.0,4.98,4.75,4.9,1.3800001,38.33334,359,755,0.4093076647949218,False,REGULAR,USD,7/25/2025,call
57,57,AMD250725C00139000,2025-07-08 16:30:39+00:00,139.0,4.6,4.25,4.4,1.3999999,43.749996,333,583,0.4060117993164062,False,REGULAR,USD,7/25/2025,call
58,58,AMD250725C00140000,2025-07-08 16:42:14+00:00,140.0,3.91,3.9,3.95,1.0600002,37.19299,5584,2845,0.404302832,False,REGULAR,USD,7/25/2025,call
59,59,AMD250725C00141000,2025-07-08 16:49:10+00:00,141.0,3.53,3.4,3.55,0.96000004,37.354088,159,577,0.4040586938476562,False,REGULAR,USD,7/25/2025,call
60,60,AMD250725C00142000,2025-07-08 16:49:20+00:00,142.0,3.14,3.1,3.2,0.8100002,34.61539,306,1181,0.4054014538574219,False,REGULAR,USD,7/25/2025,call
61,61,AMD250725C00143000,2025-07-08 16:45:36+00:00,143.0,2.79,2.78,2.85,0.77,38.118813,124,2354,0.4044249011230468,False,REGULAR,USD,7/25/2025,call
62,62,AMD250725C00144000,2025-07-08 16:35:08+00:00,144.0,2.53,2.46,2.52,0.73,40.555557,132,775,0.4025938647460937,False,REGULAR,USD,7/25/2025,call
63,63,AMD250725C00145000,2025-07-08 16:52:01+00:00,145.0,2.2,2.19,2.25,0.6,37.5,1614,5391,0.4038145556640625,False,REGULAR,USD,7/25/2025,call
64,64,AMD250725C00146000,2025-07-08 16:52:00+00:00,146.0,1.99,1.95,2.02,0.52,35.37415,219,676,0.4065000756835937,False,REGULAR,USD,7/25/2025,call
65,65,AMD250725C00147000,2025-07-08 16:27:54+00:00,147.0,1.85,1.73,1.77,0.5500001,42.3077,84,544,0.4047911083984374,False,REGULAR,USD,7/25/2025,call
66,66,AMD250725C00148000,2025-07-08 16:10:01+00:00,148.0,1.47,1.54,1.58,0.30000007,25.641033,147,481,0.40723249,False,REGULAR,USD,7/25/2025,call
67,67,AMD250725C00149000,2025-07-08 16:37:23+00:00,149.0,1.36,1.35,1.38,0.34000003,33.333336,23,223,0.406255938,False,REGULAR,USD,7/25/2025,call
68,68,AMD250725C00150000,2025-07-08 16:41:13+00:00,150.0,1.2,1.19,1.23,0.31000006,34.831467,2728,6720,0.4089414575195312,False,REGULAR,USD,7/25/2025,call
69,69,AMD250725C00152500,2025-07-08 15:44:28+00:00,152.5,0.89,0.89,0.93,0.18,25.352114,151,452,0.4169980175781249,False,REGULAR,USD,7/25/2025,call
70,70,AMD250725C00155000,2025-07-08 16:36:14+00:00,155.0,0.65,0.67,0.69,0.120000005,22.64151,6083,9531,0.422857334,False,REGULAR,USD,7/25/2025,call
71,71,AMD250725C00157500,2025-07-08 14:14:08+00:00,157.5,0.63,0.49,0.53,0.19999999,46.511623,27,277,0.432622861,False,REGULAR,USD,7/25/2025,call
72,72,AMD250725C00160000,2025-07-08 16:42:24+00:00,160.0,0.4,0.38,0.41,0.060000002,17.647058,257,1935,0.4428766650390625,False,REGULAR,USD,7/25/2025,call
73,73,AMD250725C00162500,2025-07-07 19:55:49+00:00,162.5,0.29,0.3,0.32,0.00999999,3.5714252,21,234,0.453130469,False,REGULAR,USD,7/25/2025,call
74,74,AMD250725C00165000,2025-07-08 15:42:26+00:00,165.0,0.25,0.24,0.27,0.0,0.0,77,1069,0.469731865234375,False,REGULAR,USD,7/25/2025,call
75,75,AMD250725C00170000,2025-07-08 15:14:29+00:00,170.0,0.23,0.16,0.19,0.060000002,35.294117,41,934,0.499028447,False,REGULAR,USD,7/25/2025,call
76,76,AMD250725C00175000,2025-07-08 15:42:26+00:00,175.0,0.15,0.11,0.14,0.02000001,15.384624,46,758,0.519536055,False,REGULAR,USD,7/25/2025,call
77,77,AMD250801C00120000,2025-07-08 13:49:00+00:00,120.0,19.61,19.05,19.45,2.8100014,16.726198,101,308,0.5246629565429688,True,REGULAR,USD,8/1/2025,call
78,78,AMD250801C00127000,2025-07-07 15:49:31+00:00,127.0,11.1,13.1,13.5,0.0,0.0,14,527,0.4906056799316406,True,REGULAR,USD,8/1/2025,call
79,79,AMD250801C00130000,2025-07-08 16:30:48+00:00,130.0,11.46,11.0,11.2,2.3000002,25.109173,394,1673,0.4708304870605468,True,REGULAR,USD,8/1/2025,call
80,80,AMD250801C00132000,2025-07-08 16:30:44+00:00,132.0,10.05,9.75,9.9,2.0700002,25.939852,20,159,0.468755313,True,REGULAR,USD,8/1/2025,call
81,81,AMD250801C00133000,2025-07-08 14:24:50+00:00,133.0,9.4,9.1,9.3,1.8499994,24.503302,20,393,0.4689994506835938,True,REGULAR,USD,8/1/2025,call
82,82,AMD250801C00134000,2025-07-08 15:09:16+00:00,134.0,9.25,8.45,8.6,2.2800002,32.711624,51,230,0.4600884069824219,True,REGULAR,USD,8/1/2025,call
83,83,AMD250801C00135000,2025-07-08 16:25:59+00:00,135.0,8.13,7.85,8.0,1.6800003,26.046516,169,1101,0.4570366796875,True,REGULAR,USD,8/1/2025,call
84,84,AMD250801C00136000,2025-07-08 15:53:34+00:00,136.0,7.22,7.3,7.45,1.1699996,19.338837,617,521,0.4556939196777344,True,REGULAR,USD,8/1/2025,call
85,85,AMD250801C00137000,2025-07-08 16:48:43+00:00,137.0,6.95,6.8,7.0,1.5,27.522936,245,614,0.4597221997070312,True,REGULAR,USD,8/1/2025,call
86,86,AMD250801C00138000,2025-07-08 16:50:44+00:00,138.0,6.4,6.35,6.45,1.3200002,25.730999,326,611,0.455083574,False,REGULAR,USD,8/1/2025,call
87,87,AMD250801C00139000,2025-07-08 16:41:05+00:00,139.0,5.93,5.9,6.0,1.2399998,26.439228,181,979,0.4558159887695313,False,REGULAR,USD,8/1/2025,call
88,88,AMD250801C00140000,2025-07-08 16:36:47+00:00,140.0,5.4,5.4,5.55,1.0999999,25.581392,697,3314,0.4548394360351562,False,REGULAR,USD,8/1/2025,call
89,89,AMD250801C00141000,2025-07-08 15:57:08+00:00,141.0,5.0,5.0,5.15,0.9499998,23.456785,63,460,0.4555718505859375,False,REGULAR,USD,8/1/2025,call
90,90,AMD250801C00142000,2025-07-08 16:07:22+00:00,142.0,4.55,4.6,4.7,0.8000002,21.333338,30,511,0.4512994323730469,False,REGULAR,USD,8/1/2025,call
91,91,AMD250801C00143000,2025-07-08 16:07:06+00:00,143.0,4.2,4.2,4.35,0.8099997,23.893795,64,797,0.4523980541992188,False,REGULAR,USD,8/1/2025,call
92,92,AMD250801C00144000,2025-07-08 16:20:35+00:00,144.0,3.7,3.9,4.0,0.6500001,21.311478,22,672,0.4520318469238281,False,REGULAR,USD,8/1/2025,call
93,93,AMD250801C00145000,2025-07-08 16:51:20+00:00,145.0,3.59,3.6,3.65,0.73,25.524477,285,1864,0.4499566723632812,False,REGULAR,USD,8/1/2025,call
94,94,AMD250801C00147000,2025-07-08 16:36:13+00:00,147.0,2.95,3.0,3.1,0.58000016,24.472582,30,131,0.4525201232910156,False,REGULAR,USD,8/1/2025,call
95,95,AMD250801C00148000,2025-07-08 16:44:56+00:00,148.0,2.81,2.78,2.86,0.55999994,24.888885,12,323,0.4543511596679687,False,REGULAR,USD,8/1/2025,call
96,96,AMD250801C00149000,2025-07-08 14:20:00+00:00,149.0,2.44,2.55,2.62,0.44000006,22.000004,15,182,0.4548394360351562,False,REGULAR,USD,8/1/2025,call
97,97,AMD250801C00150000,2025-07-08 16:51:20+00:00,150.0,2.36,2.32,2.38,0.52999985,28.96174,615,3767,0.4538628833007812,False,REGULAR,USD,8/1/2025,call
98,98,AMD250801C00152500,2025-07-08 15:38:36+00:00,152.5,1.87,1.86,1.93,0.38,25.503355,38,200,0.4585015087890626,False,REGULAR,USD,8/1/2025,call
99,99,AMD250801C00155000,2025-07-08 16:51:22+00:00,155.0,1.51,1.49,1.55,0.30999994,25.203247,1251,1597,0.4621635815429688,False,REGULAR,USD,8/1/2025,call
100,100,AMD250801C00160000,2025-07-08 16:45:37+00:00,160.0,0.98,0.97,1.02,0.16000003,19.512197,159,1733,0.473638076171875,False,REGULAR,USD,8/1/2025,call
101,101,AMD250801C00162500,2025-07-08 16:26:04+00:00,162.5,0.84,0.78,0.85,0.19999999,31.249998,24,117,0.4826711889648438,False,REGULAR,USD,8/1/2025,call
102,102,AMD250801C00165000,2025-07-08 16:17:36+00:00,165.0,0.68,0.65,0.7,0.09000003,15.254245,31,787,0.4897511962890626,False,REGULAR,USD,8/1/2025,call
103,103,AMD250801C00170000,2025-07-08 16:27:00+00:00,170.0,0.5,0.47,0.5,0.08000001,19.047623,12,1720,0.505864316,False,REGULAR,USD,8/1/2025,call
104,104,AMD250801C00175000,2025-07-08 14:28:01+00:00,175.0,0.36,0.34,0.38,0.01000002,2.4390295,15,382,0.5268602001953125,False,REGULAR,USD,8/1/2025,call
105,105,AMD250808C00125000,2025-07-08 15:18:08+00:00,125.0,16.55,15.95,16.2,2.5999994,18.637989,10,398,0.5240526110839843,True,REGULAR,USD,8/8/2025,call
106,106,AMD250808C00133000,2025-07-08 14:42:54+00:00,133.0,10.85,10.65,10.75,1.9000006,21.229057,35,110,0.5052539709472657,True,REGULAR,USD,8/8/2025,call
107,107,AMD250808C00135000,2025-07-08 15:46:49+00:00,135.0,9.5,9.55,9.65,1.4499998,18.01242,48,230,0.5046436254882812,True,REGULAR,USD,8/8/2025,call
108,108,AMD250808C00136000,2025-07-08 14:40:18+00:00,136.0,9.45,8.95,9.15,1.8999996,25.165558,96,135,0.5024463818359376,True,REGULAR,USD,8/8/2025,call
109,109,AMD250808C00137000,2025-07-08 16:41:00+00:00,137.0,8.45,8.45,8.55,1.2999997,18.181814,132,157,0.5022022436523439,True,REGULAR,USD,8/8/2025,call
110,110,AMD250808C00138000,2025-07-08 16:31:46+00:00,138.0,8.21,7.95,8.1,1.6599998,25.343508,114,193,0.5037891418457032,False,REGULAR,USD,8/8/2025,call
111,111,AMD250808C00139000,2025-07-08 16:26:29+00:00,139.0,7.75,7.5,7.6,1.5500002,25.000004,57,138,0.501103622,False,REGULAR,USD,8/8/2025,call
112,112,AMD250808C00140000,2025-07-08 16:42:54+00:00,140.0,7.15,7.0,7.15,1.3800001,23.916813,183,813,0.5003712072753908,False,REGULAR,USD,8/8/2025,call
113,113,AMD250808C00141000,2025-07-08 16:43:10+00:00,141.0,6.64,6.6,6.75,1.1799998,21.61172,30,207,0.5015918981933594,False,REGULAR,USD,8/8/2025,call
114,114,AMD250808C00142000,2025-07-08 16:32:52+00:00,142.0,6.31,6.15,6.3,1.1799998,23.001945,68,571,0.4985401708984375,False,REGULAR,USD,8/8/2025,call
115,115,AMD250808C00143000,2025-07-08 15:57:19+00:00,143.0,5.95,5.75,5.9,1.1599998,24.217115,25,211,0.4973194799804688,False,REGULAR,USD,8/8/2025,call
116,116,AMD250808C00144000,2025-07-08 16:36:27+00:00,144.0,5.3,5.45,5.6,0.8500004,19.101133,30,526,0.5013477600097658,False,REGULAR,USD,8/8/2025,call
